Département,Code du Canton,Libellé du Canton,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimés,Binôme,Nuance,Voix,Duel
13,28,Trets,58019,37148,20871,575,328,19968,Mme Béatrice BONFILLON CHIAVASSA,BC-UCD,7812,
13,28,Trets,58019,37148,20871,575,328,19968,Mme Emmy FONT,BC-RN,5580,
13,28,Trets,58019,37148,20871,575,328,19968,Mme Evelyne COURSOL,BC-UGE,3360,
13,28,Trets,58019,37148,20871,575,328,19968,Mme Stéphanie FAYOLLE-SANNA,BC-ECO,2493,
13,28,Trets,58019,37148,20871,575,328,19968,M. Frédéric ESPI,BC-FI,723,
13,29,Vitrolles,49625,33148,16477,325,178,15974,M. Richard MALLIÉ,BC-UCD,5661,
13,29,Vitrolles,49625,33148,16477,325,178,15974,Mme Laurence LAMARQUE,BC-RN,5017,
13,29,Vitrolles,49625,33148,16477,325,178,15974,Mme Carmen AVILA,BC-UGE,4467,
13,29,Vitrolles,49625,33148,16477,325,178,15974,M. Nicolas LIGUORO,BC-DIV,829,
13,27,Salon-de-Provence-2,49177,33560,15617,386,283,14948,Mme Chantal BOUET,BC-RN,4602,
13,27,Salon-de-Provence-2,49177,33560,15617,386,283,14948,Mme Martine AMSELEM,BC-DVG,4014,
13,27,Salon-de-Provence-2,49177,33560,15617,386,283,14948,Mme Marylène BONFILLON,BC-UD,3846,
13,27,Salon-de-Provence-2,49177,33560,15617,386,283,14948,M. Clément ACAR,BC-UGE,1688,
13,27,Salon-de-Provence-2,49177,33560,15617,386,283,14948,M. Robin MATTA,BC-COM,614,
13,27,Salon-de-Provence-2,49177,33560,15617,386,283,14948,M. Patrick DUPUY,BC-DIV,184,
05,11,Laragne-Montéglin,5876,3001,2875,115,63,2697,M. Gerard NICOLAS,BC-DIV,1083,
05,11,Laragne-Montéglin,5876,3001,2875,115,63,2697,M. Florent ARMAND,BC-DIV,926,
05,11,Laragne-Montéglin,5876,3001,2875,115,63,2697,Mme Patricia MORHET-RICHAUD,BC-DVD,688,
13,26,Salon-de-Provence-1,52277,33565,18712,456,257,17999,Mme Marie-Pierre CALLET,BC-UCD,8281,
13,26,Salon-de-Provence-1,52277,33565,18712,456,257,17999,M. Romain BAUBRY,BC-RN,5916,
13,26,Salon-de-Provence-1,52277,33565,18712,456,257,17999,M. Aristide GOMIS,BC-UGE,3802,
05,10,Guillestre,6932,3645,3287,246,93,2948,M. Marcel CANNAT,BC-DVD,2535,
05,10,Guillestre,6932,3645,3287,246,93,2948,M. Luc BIANCHINI,BC-RN,413,
