Département,Inscrits,Abstentions,Votants,Blancs,Nuls,Exprimés,Binôme,Voix,NbSieges
13,1384806,935608,449198,10785,6453,431960,Binôme Extrême gauche,682,0
13,1384806,935608,449198,10785,6453,431960,Binôme du Parti communiste français,7296,0
13,1384806,935608,449198,10785,6453,431960,Binôme de La France Insoumise,6917,0
13,1384806,935608,449198,10785,6453,431960,Binôme Union à gauche,11852,0
13,1384806,935608,449198,10785,6453,431960,Binôme Divers gauche,18003,0
13,1384806,935608,449198,10785,6453,431960,Binôme écologiste,20687,0
13,1384806,935608,449198,10785,6453,431960,Binôme d'union à gauche avec des écologistes,76360,0
13,1384806,935608,449198,10785,6453,431960,Binôme Divers,5248,0
13,1384806,935608,449198,10785,6453,431960,Binôme La République en Marche,10695,0
13,1384806,935608,449198,10785,6453,431960,Binôme Divers centre,16736,0
13,1384806,935608,449198,10785,6453,431960,Binôme d'union au centre et à droite,121385,0
13,1384806,935608,449198,10785,6453,431960,Binôme Union à droite,3846,0
13,1384806,935608,449198,10785,6453,431960,Binôme Divers droite,803,0
13,1384806,935608,449198,10785,6453,431960,Binôme Droite souverainiste,1902,0
13,1384806,935608,449198,10785,6453,431960,Binôme Rassemblement National,129359,0
13,1384806,935608,449198,10785,6453,431960,Binôme d'Extrême droite,189,0
05,111517,64733,46784,2385,1394,43005,Binôme de La France Insoumise,1138,0
05,111517,64733,46784,2385,1394,43005,Binôme Union à gauche,4330,2
05,111517,64733,46784,2385,1394,43005,Binôme Divers gauche,6881,0
05,111517,64733,46784,2385,1394,43005,Binôme écologiste,601,0
05,111517,64733,46784,2385,1394,43005,Binôme d'union à gauche avec des écologistes,1704,0
05,111517,64733,46784,2385,1394,43005,Binôme Divers,2573,0
05,111517,64733,46784,2385,1394,43005,Binôme La République en Marche,428,0
05,111517,64733,46784,2385,1394,43005,Binôme Union au centre,3544,0
05,111517,64733,46784,2385,1394,43005,Binôme Divers centre,803,0
05,111517,64733,46784,2385,1394,43005,Binôme d'union au centre et à droite,2479,0
05,111517,64733,46784,2385,1394,43005,Binôme Union à droite,3034,0
05,111517,64733,46784,2385,1394,43005,Binôme Divers droite,15077,6
05,111517,64733,46784,2385,1394,43005,Binôme Rassemblement National,413,0
12,217791,123525,94266,5368,3463,85435,Binôme du Parti communiste français,2864,0
12,217791,123525,94266,5368,3463,85435,Binôme de La France Insoumise,567,0
12,217791,123525,94266,5368,3463,85435,Binôme du Parti Socialiste,1126,0
12,217791,123525,94266,5368,3463,85435,Binôme Union à gauche,2320,0
12,217791,123525,94266,5368,3463,85435,Binôme Divers gauche,14193,0
12,217791,123525,94266,5368,3463,85435,Binôme d'union à gauche avec des écologistes,11129,2
12,217791,123525,94266,5368,3463,85435,Binôme Divers,1157,0
12,217791,123525,94266,5368,3463,85435,Binôme Divers centre,10563,4
12,217791,123525,94266,5368,3463,85435,Binôme d'union au centre et à droite,1264,0
12,217791,123525,94266,5368,3463,85435,Binôme Union à droite,11213,6
12,217791,123525,94266,5368,3463,85435,Binôme Divers droite,28602,12
