code_canton;nom_canton;nb_inscrits;nb_votants;pourc_vot/ins;nb_abstentions;pourc_abs/ins;nb_blancs;pourc_blancs/ins;nb_nuls;pourc_nuls/ins;nuance;binôme;nb_voix;pourc_voix/vot;nuance;binôme;nb_voix;pourc_voix/vot;nuance;binôme;nb_voix;pourc_voix/vot;nuance;binôme;nb_voix;pourc_voix/vot;nuance;binôme;nb_voix;pourc_voix/vot
1;Aubigny-sur-Nère;12447;4619;37.11;7828;62.89;193;4.18;318;2.55;UCD;Anne CASSIER & David DALLOIS;3156;73.38;RN;Alain BUSSCHAERT & Myriam JANVIER;1145;26.62;;;;;;;;;;;;
2;Avord;13097;4984;38.05;8113;61.95;129;2.59;204;1.56;UG;Christine CHAPEAU & Pascal MÉREAU;1817;38.01;DVD;Bénédicte DE CHOULOT & Pierre GROSJEAN;1784;37.32;RN;Julie APRICENA & Roland DUCOUT;1179;24.67;;;;;;;;
3;Bourges-1;12556;3489;27.79;9067;72.21;385;11.03;391;3.11;UG;Yann GALUT & Sakina ROBINSON;1909;61.62;UCD;Anne-Lucie CLAUSSE & Philippe GITTON;1189;38.38;;;;;;;;;;;;
4;Bourges-2;9751;2305;23.64;7446;76.36;193;8.37;193;1.98;DVG;Irène FÉLIX & Renaud METTRE;1196;56.63;UCD;Jean-Jacques GOBIN & Alix PENLOUP;511;24.20;RN;Gwendoline DUFRESNE & Alexandre RESMOND;405;19.18;;;;;;;;
5;Bourges-3;8546;2123;24.84;7423;86.86;255;12.01;255;2.98;SOC;Zéhira BEN AHMED & Hugo LEFELLE;986;52.78;UCD;Corine MALROUX & Philippe MERCIER;882;47.22;;;;;;;;;;;;
6;Bourges-4;11717;3624;30.93;8093;69.07;362;9.99;362;3.09;LR;Véronique FENOLL & Jacques FLEURY;1977;60.61;UG;Martine CHICOT & Pierre DEDET;1285;39.39;;;;;;;;;;;;
7;Chârost;10385;3113;29.98;7272;70.02;168;5.40;256;2.47;UD;Philippe CHARRETTE & Marie-Line CIRRE;1432;50.12;UG;Julie FERRON & Bruno NOBLE;827;28.95;ECO;Emilie COMPAIN BERNACHOT & Ludo COSTE;598;20.93;;;;;;;;
8;Châteaumeillant;11307;4694;41.51;6613;58.49;115;2.45;203;1.80;UCD;Daniel FOURRE & Bernadette PERROT DUBREUIL;1527;34.00;UD;Maryline BROSSAT & Arnaud SIROT;1168;26.01;RN;Estelle LE CREURER & Erwan LE MINTIER;1014;22.58;COM;Daniel BUSSENET & Claudine GOIX;444;9.89;DVD;Corinne BREUZÉ & Christophe CHERY;338;7.53
9;Dun-sur-Auron;11575;3885;33.56;7690;66.44;198;5.10;331;2.86;DVD;Didier BRUGÈRE & Marie-Pierre RICHER;2471;69.53;RN;Edouard DESNOS & Nathalie DUCORNEY;1083;30.47;;;;;;;;;;;;
10;La Guerche-sur-l'Aubois;9673;3069;31.73;6604;68.27;96;3.13;141;1.46;SOC;Bernadette COURIVAUD & Serge MÉCHIN;1301;44.43;DVD;Olivier HURABIELLE & Sylvie MATHIAUD;886;30.26;RN;Christophe DUFRESNE & Annick LEPÈRE;741;25.31;;;;;;;;
11;Mehun-sur-Yèvre;14560;4694;32.24;9866;67.76;166;3.54;273;1.88;UD;Sophie BERTRAND & Christian GATTEFIN;1907;43.14;COM;Julie DALLOIS & Daniel LACROIX;1501;33.95;RN;Annick BISIAUX & Maurice GOSSEAUME;1013;22.91;;;;;;;;
12;Saint-Armand-Montrond;11740;3821;32.55;7919;67.45;124;3.25;235;2.00;UCD;Clarisse DULUC & Emmanuel RIOTTE;2189;61.04;RN;Céline APRICENA & Louis DENIAU;702;19.58;UGE;Dominique LARDUINAT & Laurence MIOCHE;695;19.38;;;;;;;;
13;Saint-Doulchard;12127;4278;35.28;7849;64.72;116;2.71;173;1.43;DVD;Richard BOUDET & Catherine REBOTTARO;1978;48.19;DVG;Yvon BEUCHON & Magali SAYAG;1773;43.19;UCD;Marianne COMMEAU & Dominique TELLIEZ;354;8.62;;;;;;;;
14;Saint-Germain-du-Puy;11710;4289;36.63;7421;63.37;115;2.68;172;1.47;UG;Marie-Christine BAUDOUIN & Gérard CLAVIER;1755;42.63;DVD;Ghislaine DE BENGY-PUYVALLEE & Christophe DRUNAT;1531;37.19;RN;Jean-René COUEILLE & Véronique PFISTER;831;20.18;;;;;;;;
15;Saint-Martin-d'Auxigny;12960;4436;34.23;8524;65.77;133;3.00;207;1.60;UCD;Fabrice CHOLLET & Béatrice DAMADE;2547;60.23;COM;Joëlle CHAUVEAU & Joël CROTTÉ;858;20.29;RN;Johanna LE CREURER & Adrien MALARDE;824;19.48;;;;;;;;
16;Sancerre;14506;5558;38.32;8948;61.68;227;4.08;352;2.43;BC-DVD;Patrick BAGOT & Sophie CHESTIER;2534;48.67;BC-DIV;Pascale MARQ & Bruno VAN DER PUTTEN;1537;29.52;BC-RN;Marie-Pierre ALLART & Jimmy SWYNGHEDAUWE;1135;21.80;;;;;;;;
17;Trouy;12325;4283;34.75;8042;65.25;176;4.11;269;2.18;UDI;Patrick BARNIER & Florence PIERRE;1887;47.01;UCG;Bruno MARÉCHAL & Marie-Thérèse PETIT;1158;28.85;RN;Michèle BENARD & Steven LECLANCHÉ;969;24.14;;;;;;;;
18;Vierzon-1;10245;2741;26.75;7504;73.25;69;2.52;125;1.22;COM;Mélanie CHAUVET & Franck MICHOUX;1184;45.26;RN;Bruno BOURDIN & Fabienne MOINDROT;653;24.96;DVD;Cécile CHANGEUX & Yann GODARD;518;19.80;ECO;Farid DEMIK & Valérie JOFFRE;261;9.98;;;;
19;Vierzon-2;11592;3829;33.03;7763;66.97;120;3.13;208;1.79;COM;Jean-Pierre CHARLES & Delphine PIÉTU;1984;54.79;RN;Isabelle BICHLER & Thibaut LE MOUËL;955;26.37;DVC;Gabriel BEHAGHEL & Mariana MUMMOLO GRUSS;682;18.83;;;;;;;;
