Code du département;Libellé du département;Code du canton;Libellé du canton;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp
1;AIN;2;BÂGÉ-LE-CHÂTEL;10638;5712;53.69;4926;46.31;117;1.1;2.38;4809;45.21;97.62;M;MONTERRAT;Dominique;PG;119;1.12;2.47;M;CLERE;Daniel;DVG;1169;10.99;24.31;M;BRETON;Michel;VEC;390;3.67;8.11;M;PAQUELIER;François;AUT;562;5.28;11.69;M;BILLOUDET;Guy;DVD;1791;16.84;37.24;F;CATHERIN;Marie-Lucienne;FN;778;7.31;16.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;3;BELLEGARDE-SUR-VALSERINE;10657;5974;56.06;4683;43.94;57;0.53;1.22;4626;43.41;98.78;M;BLOCH;Jean-Sébastien;COM;188;1.76;4.06;M;LARMANJAT;Guy;SOC;2174;20.4;47;F;PERROUD;Brigitte;VEC;185;1.74;4;M;FILLION;Jean-Pierre;AUT;795;7.46;17.19;M;DE SOUZA;Michel;UMP;448;4.2;9.68;M;MULTIN;Roland;DVD;205;1.92;4.43;M;SOKOLOWSKI;Patrick;FN;631;5.92;13.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;4;BELLEY;12238;6042;49.37;6196;50.63;118;0.96;1.9;6078;49.66;98.1;M;THOUMINE;Yves;COM;362;2.96;5.96;M;FOGNINI;Jean-Marc;SOC;1736;14.19;28.56;M;PASQUALIN;Alain;VEC;473;3.87;7.78;M;BETTANT;Gérard;DVD;1251;10.22;20.58;M;TRAVERS;Jean Claude;DVD;1306;10.67;21.49;M;POLI;Olivier;FN;950;7.76;15.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;12550;7140;56.89;5410;43.11;116;0.92;2.14;5294;42.18;97.86;F;BONNET;Pascale;COM;140;1.12;2.64;M;CHAFFURIN;Nicolas;SOC;1452;11.57;27.43;F;PIGUET-LACROIX;Karine;VEC;463;3.69;8.75;M;CLAYETTE;Yves;UMP;2153;17.16;40.67;F;BOISSON;Nicole;FN;1086;8.65;20.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;11;COLIGNY;5032;2280;45.31;2752;54.69;52;1.03;1.89;2700;53.66;98.11;M;CHOSSAT;Martial;PG;74;1.47;2.74;M;GESTAS;Alain;DVG;1066;21.18;39.48;M;LELONG;Alexandre;VEC;240;4.77;8.89;M;BERNADAC;Jean;UMP;966;19.2;35.78;M;PRIEUR;Yves;FN;354;7.03;13.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;13;FERNEY-VOLTAIRE;16774;10767;64.19;6007;35.81;92;0.55;1.53;5915;35.26;98.47;M;DARVES;Jacques;COM;127;0.76;2.15;M;BERTRAND;Hubert;RDG;759;4.52;12.83;M;LAURENSON;Jean-Paul;DVG;1266;7.55;21.4;M;LOOSLI;Peter;VEC;948;5.65;16.03;F;BOCH;Jocelyne;UMP;1714;10.22;28.98;F;CHENU-DURAFOUR;Michelle;DVD;325;1.94;5.49;M;PLANQUE-BONINI;Eric;FN;776;4.63;13.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;15;HAUTEVILLE-LOMPNES;3560;1796;50.45;1764;49.55;68;1.91;3.85;1696;47.64;96.15;F;COCHARD;Françoise;COM;479;13.46;28.24;M;RABUT;Jacques;DVG;563;15.81;33.2;M;STEYAERT;Frank;DVD;654;18.37;38.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;18;LHUIS;4087;2004;49.03;2083;50.97;50;1.22;2.4;2033;49.74;97.6;F;PHILIPPE;Katia;COM;93;2.28;4.57;M;BABOLAT;Gilbert;SOC;410;10.03;20.17;M;BEGUET;Daniel;DVG;521;12.75;25.63;M;ROMEGGIO;René;DVD;713;17.45;35.07;M;COMMERE;Jean-Pierre;FN;296;7.24;14.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;20;MONTLUEL;14103;8250;58.5;5853;41.5;74;0.52;1.26;5779;40.98;98.74;M;BELTHIER;Albert;COM;223;1.58;3.86;M;BERNARD;Jacky;SOC;1775;12.59;30.71;M;MALLET;Laurent;VEC;528;3.74;9.14;F;BOUCHARD;Danielle;DVD;1817;12.88;31.44;F;DE LACHEISSERIE;Nicole;FN;1436;10.18;24.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;AIN;22;NANTUA;7608;4003;52.62;3605;47.38;41;0.54;1.14;3564;46.85;98.86;M;MONNIER;Jean-Pierre;COM;110;1.45;3.09;M;DRUT;Nicolas;SOC;411;5.4;11.53;M;CHAMBOLLE;Florian;VEC;237;3.12;6.65;M;DEGUERRY;Jean;DVD;1312;17.25;36.81;M;PELLEGRINI;Bruno;DVD;875;11.5;24.55;M;NOBLET;Gaëtan;FN;619;8.14;17.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
