Code du département;Libellé du département;Code du canton;Libellé du canton;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp
1;AIN;2;BÂGÉ-LE-CHÂTEL;10638;5768;54.22;4870;45.78;327;3.07;6.71;4543;42.71;93.29;M;CLERE;Daniel;DVG;2013;18.92;44.31;M;BILLOUDET;Guy;DVD;2530;23.78;55.69;;;;;;;
1;AIN;3;BELLEGARDE-SUR-VALSERINE;10657;6118;57.41;4539;42.59;204;1.91;4.49;4335;40.68;95.51;M;LARMANJAT;Guy;SOC;2964;27.81;68.37;M;FILLION;Jean-Pierre;AUT;1371;12.86;31.63;;;;;;;
1;AIN;4;BELLEY;12238;5832;47.65;6406;52.35;384;3.14;5.99;6022;49.21;94.01;M;FOGNINI;Jean-Marc;SOC;3186;26.03;52.91;M;TRAVERS;Jean Claude;DVD;2836;23.17;47.09;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;12550;7239;57.68;5311;42.32;317;2.53;5.97;4994;39.79;94.03;M;CHAFFURIN;Nicolas;SOC;2124;16.92;42.53;M;CLAYETTE;Yves;UMP;2870;22.87;57.47;;;;;;;
1;AIN;11;COLIGNY;5032;2010;39.94;3022;60.06;140;2.78;4.63;2882;57.27;95.37;M;GESTAS;Alain;DVG;1565;31.1;54.3;M;BERNADAC;Jean;UMP;1317;26.17;45.7;;;;;;;
1;AIN;13;FERNEY-VOLTAIRE;16768;10742;64.06;6026;35.94;248;1.48;4.12;5778;34.46;95.88;M;LAURENSON;Jean-Paul;DVG;3110;18.55;53.82;F;BOCH;Jocelyne;UMP;2668;15.91;46.18;;;;;;;
1;AIN;15;HAUTEVILLE-LOMPNES;3559;1708;47.99;1851;52.01;70;1.97;3.78;1781;50.04;96.22;M;RABUT;Jacques;DVG;985;27.68;55.31;M;STEYAERT;Frank;DVD;796;22.37;44.69;;;;;;;
1;AIN;18;LHUIS;4087;1869;45.73;2218;54.27;111;2.72;5;2107;51.55;95;M;BEGUET;Daniel;DVG;1108;27.11;52.59;M;ROMEGGIO;René;DVD;999;24.44;47.41;;;;;;;
1;AIN;20;MONTLUEL;14103;7932;56.24;6171;43.76;288;2.04;4.67;5883;41.71;95.33;M;BERNARD;Jacky;SOC;2801;19.86;47.61;F;BOUCHARD;Danielle;DVD;3082;21.85;52.39;;;;;;;
1;AIN;22;NANTUA;7607;4257;55.96;3350;44.04;258;3.39;7.7;3092;40.65;92.3;M;DEGUERRY;Jean;DVD;1858;24.42;60.09;M;PELLEGRINI;Bruno;DVD;1234;16.22;39.91;;;;;;;
1;AIN;24;PONCIN;4914;2429;49.43;2485;50.57;197;4.01;7.93;2288;46.56;92.07;M;CHABRY;Jean;AUT;1335;27.17;58.35;M;GIROUX;Jean-Michel;UMP;953;19.39;41.65;;;;;;;
1;AIN;25;PONT-D'AIN;9152;5075;55.45;4077;44.55;259;2.83;6.35;3818;41.72;93.65;M;FONDRAZ;Serge;DVG;2265;24.75;59.32;M;FERRY;André;DVD;1553;16.97;40.68;;;;;;;
1;AIN;27;PONT-DE-VEYLE;8943;4551;50.89;4392;49.11;254;2.84;5.78;4138;46.27;94.22;M;GREFFET;Christophe;SOC;2441;27.3;58.99;M;CHAPPELON;Yves-Augustin;UMP;1697;18.98;41.01;;;;;;;
1;AIN;31;SEYSSEL;4111;2113;51.4;1998;48.6;98;2.38;4.9;1900;46.22;95.1;M;BERARDI;Christophe;SOC;1029;25.03;54.16;M;DESBOS;Michel;DVD;871;21.19;45.84;;;;;;;
1;AIN;32;THOISSEY;10190;5790;56.82;4400;43.18;308;3.02;7;4092;40.16;93;M;PHILIPPON;André;DVG;2619;25.7;64;F;PERRIN;Nadine;FN;1473;14.46;36;;;;;;;
1;AIN;34;TRÉVOUX;11852;7210;60.83;4642;39.17;240;2.02;5.17;4402;37.14;94.83;M;ROUSSET;Patrick;DVG;2550;21.52;57.93;M;PECHOUX;Marc;UMP;1852;15.63;42.07;;;;;;;
1;AIN;35;VILLARS-LES-DOMBES;6725;3928;58.41;2797;41.59;179;2.66;6.4;2618;38.93;93.6;M;FAVERJON;Georges;DVG;1463;21.75;55.88;M;BERNIGAUD;Roland;M-NC;1155;17.17;44.12;;;;;;;
1;AIN;36;VIRIEU-LE-GRAND;3248;1446;44.52;1802;55.48;98;3.02;5.44;1704;52.46;94.56;F;GUILLON;Pascale;DVG;1037;31.93;60.86;F;MICHALLET;Eliane;UMP;667;20.54;39.14;;;;;;;
1;AIN;39;PÉRONNAS;9942;5452;54.84;4490;45.16;145;1.46;3.23;4345;43.7;96.77;M;QUIVET;Bernard;SOC;1879;18.9;43.25;M;CHANEL;Christian;DVD;2466;24.8;56.75;;;;;;;
1;AIN;40;MIRIBEL;14225;8833;62.09;5392;37.91;304;2.14;5.64;5088;35.77;94.36;M;GOUBET;Pierre;DVG;2906;20.43;57.11;F;TERRIER;Caroline;UMP;2182;15.34;42.89;;;;;;;
1;AIN;43;VIRIAT;12216;5636;46.14;6580;53.86;185;1.51;2.81;6395;52.35;97.19;M;NALLET;Jacques;DVG;3096;25.34;48.41;M;PERRET;Bernard;DVD;3299;27.01;51.59;;;;;;;
2;AISNE;1;ANIZY-LE-CHÂTEAU;7470;3751;50.21;3719;49.79;247;3.31;6.64;3472;46.48;93.36;M;COUNOT;Daniel;DVG;2382;31.89;68.61;M;JAHRLING;Gerhard;FN;1090;14.59;31.39;;;;;;;
2;AISNE;3;BOHAIN-EN-VERMANDOIS;9831;4943;50.28;4888;49.72;377;3.83;7.71;4511;45.89;92.29;M;COLLET;Michel;SOC;2926;29.76;64.86;M;NAIN;José;FN;1585;16.12;35.14;;;;;;;
2;AISNE;4;BRAINE;8175;4110;50.28;4065;49.72;228;2.79;5.61;3837;46.94;94.39;M;TEMPLIER;Ernest;DVD;2559;31.3;66.69;M;FACCINI;Christophe;FN;1278;15.63;33.31;;;;;;;
2;AISNE;8;CHÂTEAU-THIERRY;19797;10416;52.61;9381;47.39;818;4.13;8.72;8563;43.25;91.28;M;KRABAL;Jacques;RDG;5697;28.78;66.53;M;PADIEU;Dominique;FN;2866;14.48;33.47;;;;;;;
2;AISNE;12;CRAONNE;4099;1810;44.16;2289;55.84;141;3.44;6.16;2148;52.4;93.84;M;GENTEUR;Noël;DVG;1276;31.13;59.4;M;RAVERDY;Thierry;M;872;21.27;40.6;;;;;;;
