Code du département;Libellé du département;Code du canton;Libellé du canton;Code de la commune;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp;Sexe;Nom;Prénom;Nuance;Voix;% Voix/Ins;% Voix/Exp
1;AIN;2;BÂGÉ-LE-CHÂTEL;23;Asnières-sur-Saône;54;31;57.41;23;42.59;0;0;0;23;42.59;100;M;CLERE;Daniel;DVG;10;18.52;43.48;M;BILLOUDET;Guy;DVD;13;24.07;56.52;;;;;;;
1;AIN;2;BÂGÉ-LE-CHÂTEL;25;Bâgé-la-Ville;1978;1078;54.5;900;45.5;64;3.24;7.11;836;42.26;92.89;M;CLERE;Daniel;DVG;453;22.9;54.19;M;BILLOUDET;Guy;DVD;383;19.36;45.81;;;;;;;
1;AIN;2;BÂGÉ-LE-CHÂTEL;26;Bâgé-le-Châtel;546;259;47.44;287;52.56;11;2.01;3.83;276;50.55;96.17;M;CLERE;Daniel;DVG;138;25.27;50;M;BILLOUDET;Guy;DVD;138;25.27;50;;;;;;;
1;AIN;2;BÂGÉ-LE-CHÂTEL;144;Dommartin;598;329;55.02;269;44.98;15;2.51;5.58;254;42.47;94.42;M;CLERE;Daniel;DVG;140;23.41;55.12;M;BILLOUDET;Guy;DVD;114;19.06;44.88;;;;;;;
1;AIN;2;BÂGÉ-LE-CHÂTEL;159;Feillens;2334;1168;50.04;1166;49.96;71;3.04;6.09;1095;46.92;93.91;M;CLERE;Daniel;DVG;314;13.45;28.68;M;BILLOUDET;Guy;DVD;781;33.46;71.32;;;;;;;
1;AIN;2;BÂGÉ-LE-CHÂTEL;231;Manziat;1374;755;54.95;619;45.05;47;3.42;7.59;572;41.63;92.41;M;CLERE;Daniel;DVG;234;17.03;40.91;M;BILLOUDET;Guy;DVD;338;24.6;59.09;;;;;;;
1;AIN;2;BÂGÉ-LE-CHÂTEL;320;Replonges;2442;1394;57.08;1048;42.92;77;3.15;7.35;971;39.76;92.65;M;CLERE;Daniel;DVG;396;16.22;40.78;M;BILLOUDET;Guy;DVD;575;23.55;59.22;;;;;;;
1;AIN;2;BÂGÉ-LE-CHÂTEL;332;Saint-André-de-Bâgé;451;207;45.9;244;54.1;16;3.55;6.56;228;50.55;93.44;M;CLERE;Daniel;DVG;157;34.81;68.86;M;BILLOUDET;Guy;DVD;71;15.74;31.14;;;;;;;
1;AIN;2;BÂGÉ-LE-CHÂTEL;370;Saint-Laurent-sur-Saône;790;516;65.32;274;34.68;19;2.41;6.93;255;32.28;93.07;M;CLERE;Daniel;DVG;159;20.13;62.35;M;BILLOUDET;Guy;DVD;96;12.15;37.65;;;;;;;
1;AIN;2;BÂGÉ-LE-CHÂTEL;439;Vésines;71;31;43.66;40;56.34;7;9.86;17.5;33;46.48;82.5;M;CLERE;Daniel;DVG;12;16.9;36.36;M;BILLOUDET;Guy;DVD;21;29.58;63.64;;;;;;;
1;AIN;3;BELLEGARDE-SUR-VALSERINE;33;Bellegarde-sur-Valserine;5920;3463;58.5;2457;41.5;94;1.59;3.83;2363;39.92;96.17;M;LARMANJAT;Guy;SOC;1507;25.46;63.77;M;FILLION;Jean-Pierre;AUT;856;14.46;36.23;;;;;;;
1;AIN;3;BELLEGARDE-SUR-VALSERINE;44;Billiat;354;207;58.47;147;41.53;7;1.98;4.76;140;39.55;95.24;M;LARMANJAT;Guy;SOC;109;30.79;77.86;M;FILLION;Jean-Pierre;AUT;31;8.76;22.14;;;;;;;
1;AIN;3;BELLEGARDE-SUR-VALSERINE;81;Champfromier;489;236;48.26;253;51.74;19;3.89;7.51;234;47.85;92.49;M;LARMANJAT;Guy;SOC;186;38.04;79.49;M;FILLION;Jean-Pierre;AUT;48;9.82;20.51;;;;;;;
1;AIN;3;BELLEGARDE-SUR-VALSERINE;91;Châtillon-en-Michaille;2068;1262;61.03;806;38.97;39;1.89;4.84;767;37.09;95.16;M;LARMANJAT;Guy;SOC;532;25.73;69.36;M;FILLION;Jean-Pierre;AUT;235;11.36;30.64;;;;;;;
1;AIN;3;BELLEGARDE-SUR-VALSERINE;174;Giron;112;50;44.64;62;55.36;2;1.79;3.23;60;53.57;96.77;M;LARMANJAT;Guy;SOC;53;47.32;88.33;M;FILLION;Jean-Pierre;AUT;7;6.25;11.67;;;;;;;
1;AIN;3;BELLEGARDE-SUR-VALSERINE;189;Injoux-Génissiat;679;379;55.82;300;44.18;15;2.21;5;285;41.97;95;M;LARMANJAT;Guy;SOC;243;35.79;85.26;M;FILLION;Jean-Pierre;AUT;42;6.19;14.74;;;;;;;
1;AIN;3;BELLEGARDE-SUR-VALSERINE;215;Lhôpital;47;20;42.55;27;57.45;0;0;0;27;57.45;100;M;LARMANJAT;Guy;SOC;27;57.45;100;M;FILLION;Jean-Pierre;AUT;0;0;0;;;;;;;
1;AIN;3;BELLEGARDE-SUR-VALSERINE;257;Montanges;292;168;57.53;124;42.47;5;1.71;4.03;119;40.75;95.97;M;LARMANJAT;Guy;SOC;76;26.03;63.87;M;FILLION;Jean-Pierre;AUT;43;14.73;36.13;;;;;;;
1;AIN;3;BELLEGARDE-SUR-VALSERINE;298;Plagne;94;44;46.81;50;53.19;9;9.57;18;41;43.62;82;M;LARMANJAT;Guy;SOC;27;28.72;65.85;M;FILLION;Jean-Pierre;AUT;14;14.89;34.15;;;;;;;
1;AIN;3;BELLEGARDE-SUR-VALSERINE;357;Saint-Germain-de-Joux;277;116;41.88;161;58.12;9;3.25;5.59;152;54.87;94.41;M;LARMANJAT;Guy;SOC;110;39.71;72.37;M;FILLION;Jean-Pierre;AUT;42;15.16;27.63;;;;;;;
1;AIN;3;BELLEGARDE-SUR-VALSERINE;413;Surjoux;72;42;58.33;30;41.67;0;0;0;30;41.67;100;M;LARMANJAT;Guy;SOC;20;27.78;66.67;M;FILLION;Jean-Pierre;AUT;10;13.89;33.33;;;;;;;
1;AIN;3;BELLEGARDE-SUR-VALSERINE;448;Villes;253;131;51.78;122;48.22;5;1.98;4.1;117;46.25;95.9;M;LARMANJAT;Guy;SOC;74;29.25;63.25;M;FILLION;Jean-Pierre;AUT;43;17;36.75;;;;;;;
1;AIN;4;BELLEY;6;Ambléon;106;57;53.77;49;46.23;3;2.83;6.12;46;43.4;93.88;M;FOGNINI;Jean-Marc;SOC;21;19.81;45.65;M;TRAVERS;Jean Claude;DVD;25;23.58;54.35;;;;;;;
1;AIN;4;BELLEY;9;Andert-et-Condon;256;124;48.44;132;51.56;9;3.52;6.82;123;48.05;93.18;M;FOGNINI;Jean-Marc;SOC;66;25.78;53.66;M;TRAVERS;Jean Claude;DVD;57;22.27;46.34;;;;;;;
1;AIN;4;BELLEY;15;Arbignieu;368;158;42.93;210;57.07;18;4.89;8.57;192;52.17;91.43;M;FOGNINI;Jean-Marc;SOC;100;27.17;52.08;M;TRAVERS;Jean Claude;DVD;92;25;47.92;;;;;;;
1;AIN;4;BELLEY;34;Belley;5275;2583;48.97;2692;51.03;123;2.33;4.57;2569;48.7;95.43;M;FOGNINI;Jean-Marc;SOC;1341;25.42;52.2;M;TRAVERS;Jean Claude;DVD;1228;23.28;47.8;;;;;;;
1;AIN;4;BELLEY;58;Brégnier-Cordon;570;271;47.54;299;52.46;22;3.86;7.36;277;48.6;92.64;M;FOGNINI;Jean-Marc;SOC;145;25.44;52.35;M;TRAVERS;Jean Claude;DVD;132;23.16;47.65;;;;;;;
1;AIN;4;BELLEY;61;Brens;739;387;52.37;352;47.63;30;4.06;8.52;322;43.57;91.48;M;FOGNINI;Jean-Marc;SOC;177;23.95;54.97;M;TRAVERS;Jean Claude;DVD;145;19.62;45.03;;;;;;;
1;AIN;4;BELLEY;98;Chazey-Bons;529;254;48.02;275;51.98;14;2.65;5.09;261;49.34;94.91;M;FOGNINI;Jean-Marc;SOC;133;25.14;50.96;M;TRAVERS;Jean Claude;DVD;128;24.2;49.04;;;;;;;
1;AIN;4;BELLEY;110;Colomieu;111;47;42.34;64;57.66;11;9.91;17.19;53;47.75;82.81;M;FOGNINI;Jean-Marc;SOC;37;33.33;69.81;M;TRAVERS;Jean Claude;DVD;16;14.41;30.19;;;;;;;
1;AIN;4;BELLEY;117;Conzieu;115;52;45.22;63;54.78;5;4.35;7.94;58;50.43;92.06;M;FOGNINI;Jean-Marc;SOC;32;27.83;55.17;M;TRAVERS;Jean Claude;DVD;26;22.61;44.83;;;;;;;
1;AIN;4;BELLEY;133;Cressin-Rochefort;277;118;42.6;159;57.4;9;3.25;5.66;150;54.15;94.34;M;FOGNINI;Jean-Marc;SOC;81;29.24;54;M;TRAVERS;Jean Claude;DVD;69;24.91;46;;;;;;;
1;AIN;4;BELLEY;193;Izieu;181;91;50.28;90;49.72;2;1.1;2.22;88;48.62;97.78;M;FOGNINI;Jean-Marc;SOC;45;24.86;51.14;M;TRAVERS;Jean Claude;DVD;43;23.76;48.86;;;;;;;
1;AIN;4;BELLEY;208;Lavours;136;52;38.24;84;61.76;3;2.21;3.57;81;59.56;96.43;M;FOGNINI;Jean-Marc;SOC;42;30.88;51.85;M;TRAVERS;Jean Claude;DVD;39;28.68;48.15;;;;;;;
1;AIN;4;BELLEY;227;Magnieu;320;160;50;160;50;6;1.88;3.75;154;48.13;96.25;M;FOGNINI;Jean-Marc;SOC;78;24.38;50.65;M;TRAVERS;Jean Claude;DVD;76;23.75;49.35;;;;;;;
1;AIN;4;BELLEY;239;Massignieu-de-Rives;467;216;46.25;251;53.75;17;3.64;6.77;234;50.11;93.23;M;FOGNINI;Jean-Marc;SOC;132;28.27;56.41;M;TRAVERS;Jean Claude;DVD;102;21.84;43.59;;;;;;;
1;AIN;4;BELLEY;268;Murs-et-Gélignieux;195;84;43.08;111;56.92;6;3.08;5.41;105;53.85;94.59;M;FOGNINI;Jean-Marc;SOC;28;14.36;26.67;M;TRAVERS;Jean Claude;DVD;77;39.49;73.33;;;;;;;
1;AIN;4;BELLEY;271;Nattages;428;235;54.91;193;45.09;12;2.8;6.22;181;42.29;93.78;M;FOGNINI;Jean-Marc;SOC;111;25.93;61.33;M;TRAVERS;Jean Claude;DVD;70;16.36;38.67;;;;;;;
1;AIN;4;BELLEY;286;Parves;309;117;37.86;192;62.14;17;5.5;8.85;175;56.63;91.15;M;FOGNINI;Jean-Marc;SOC;155;50.16;88.57;M;TRAVERS;Jean Claude;DVD;20;6.47;11.43;;;;;;;
1;AIN;4;BELLEY;294;Peyrieu;576;290;50.35;286;49.65;7;1.22;2.45;279;48.44;97.55;M;FOGNINI;Jean-Marc;SOC;123;21.35;44.09;M;TRAVERS;Jean Claude;DVD;156;27.08;55.91;;;;;;;
1;AIN;4;BELLEY;302;Pollieu;137;42;30.66;95;69.34;9;6.57;9.47;86;62.77;90.53;M;FOGNINI;Jean-Marc;SOC;54;39.42;62.79;M;TRAVERS;Jean Claude;DVD;32;23.36;37.21;;;;;;;
1;AIN;4;BELLEY;310;Prémeyzel;112;54;48.21;58;51.79;11;9.82;18.97;47;41.96;81.03;M;FOGNINI;Jean-Marc;SOC;17;15.18;36.17;M;TRAVERS;Jean Claude;DVD;30;26.79;63.83;;;;;;;
1;AIN;4;BELLEY;340;Saint-Bois;108;53;49.07;55;50.93;7;6.48;12.73;48;44.44;87.27;M;FOGNINI;Jean-Marc;SOC;31;28.7;64.58;M;TRAVERS;Jean Claude;DVD;17;15.74;35.42;;;;;;;
1;AIN;4;BELLEY;341;Saint-Champ;134;42;31.34;92;68.66;6;4.48;6.52;86;64.18;93.48;M;FOGNINI;Jean-Marc;SOC;44;32.84;51.16;M;TRAVERS;Jean Claude;DVD;42;31.34;48.84;;;;;;;
1;AIN;4;BELLEY;358;Saint-Germain-les-Paroisses;289;118;40.83;171;59.17;14;4.84;8.19;157;54.33;91.81;M;FOGNINI;Jean-Marc;SOC;76;26.3;48.41;M;TRAVERS;Jean Claude;DVD;81;28.03;51.59;;;;;;;
1;AIN;4;BELLEY;454;Virignin;500;227;45.4;273;54.6;23;4.6;8.42;250;50;91.58;M;FOGNINI;Jean-Marc;SOC;117;23.4;46.8;M;TRAVERS;Jean Claude;DVD;133;26.6;53.2;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;1;L'Abergement-Clémenciat;600;330;55;270;45;8;1.33;2.96;262;43.67;97.04;M;CHAFFURIN;Nicolas;SOC;127;21.17;48.47;M;CLAYETTE;Yves;UMP;135;22.5;51.53;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;46;Biziat;582;337;57.9;245;42.1;19;3.26;7.76;226;38.83;92.24;M;CHAFFURIN;Nicolas;SOC;81;13.92;35.84;M;CLAYETTE;Yves;UMP;145;24.91;64.16;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;84;Chanoz-Châtenay;448;249;55.58;199;44.42;15;3.35;7.54;184;41.07;92.46;M;CHAFFURIN;Nicolas;SOC;83;18.53;45.11;M;CLAYETTE;Yves;UMP;101;22.54;54.89;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;93;Châtillon-sur-Chalaronne;3276;1902;58.06;1374;41.94;64;1.95;4.66;1310;39.99;95.34;M;CHAFFURIN;Nicolas;SOC;539;16.45;41.15;M;CLAYETTE;Yves;UMP;771;23.53;58.85;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;96;Chaveyriat;700;447;63.86;253;36.14;11;1.57;4.35;242;34.57;95.65;M;CHAFFURIN;Nicolas;SOC;114;16.29;47.11;M;CLAYETTE;Yves;UMP;128;18.29;52.89;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;113;Condeissiat;535;315;58.88;220;41.12;10;1.87;4.55;210;39.25;95.45;M;CHAFFURIN;Nicolas;SOC;83;15.51;39.52;M;CLAYETTE;Yves;UMP;127;23.74;60.48;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;146;Dompierre-sur-Chalaronne;263;144;54.75;119;45.25;9;3.42;7.56;110;41.83;92.44;M;CHAFFURIN;Nicolas;SOC;37;14.07;33.64;M;CLAYETTE;Yves;UMP;73;27.76;66.36;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;246;Mézériat;1309;790;60.35;519;39.65;44;3.36;8.48;475;36.29;91.52;M;CHAFFURIN;Nicolas;SOC;212;16.2;44.63;M;CLAYETTE;Yves;UMP;263;20.09;55.37;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;272;Neuville-les-Dames;980;555;56.63;425;43.37;23;2.35;5.41;402;41.02;94.59;M;CHAFFURIN;Nicolas;SOC;170;17.35;42.29;M;CLAYETTE;Yves;UMP;232;23.67;57.71;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;328;Romans;350;190;54.29;160;45.71;7;2;4.38;153;43.71;95.63;M;CHAFFURIN;Nicolas;SOC;56;16;36.6;M;CLAYETTE;Yves;UMP;97;27.71;63.4;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;335;Saint-André-le-Bouchoux;218;103;47.25;115;52.75;9;4.13;7.83;106;48.62;92.17;M;CHAFFURIN;Nicolas;SOC;37;16.97;34.91;M;CLAYETTE;Yves;UMP;69;31.65;65.09;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;356;Saint-Georges-sur-Renon;127;70;55.12;57;44.88;8;6.3;14.04;49;38.58;85.96;M;CHAFFURIN;Nicolas;SOC;28;22.05;57.14;M;CLAYETTE;Yves;UMP;21;16.54;42.86;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;368;Saint-Julien-sur-Veyle;476;298;62.61;178;37.39;12;2.52;6.74;166;34.87;93.26;M;CHAFFURIN;Nicolas;SOC;80;16.81;48.19;M;CLAYETTE;Yves;UMP;86;18.07;51.81;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;393;Sandrans;369;200;54.2;169;45.8;13;3.52;7.69;156;42.28;92.31;M;CHAFFURIN;Nicolas;SOC;60;16.26;38.46;M;CLAYETTE;Yves;UMP;96;26.02;61.54;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;412;Sulignat;430;240;55.81;190;44.19;16;3.72;8.42;174;40.47;91.58;M;CHAFFURIN;Nicolas;SOC;77;17.91;44.25;M;CLAYETTE;Yves;UMP;97;22.56;55.75;;;;;;;
1;AIN;10;CHÂTILLON-SUR-CHALARONNE;457;Vonnas;1887;1069;56.65;818;43.35;49;2.6;5.99;769;40.75;94.01;M;CHAFFURIN;Nicolas;SOC;340;18.02;44.21;M;CLAYETTE;Yves;UMP;429;22.73;55.79;;;;;;;
1;AIN;11;COLIGNY;29;Beaupont;396;219;55.3;177;44.7;9;2.27;5.08;168;42.42;94.92;M;GESTAS;Alain;DVG;93;23.48;55.36;M;BERNADAC;Jean;UMP;75;18.94;44.64;;;;;;;
