;Département;Code du Canton;Libellé du Canton;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Binôme;Nuance;Voix;%Voix/Exp
0;01;1;Ambérieu-en-Bugey;19521;13028;6493;185;97;6211;M. Joël BRUNET;BC-DVD;1983;31.93
1;01;1;Ambérieu-en-Bugey;19521;13028;6493;185;97;6211;M. Fabrice PEREYRON;BC-UG;1552;24.99
2;01;1;Ambérieu-en-Bugey;19521;13028;6493;185;97;6211;M. Christophe FORTIN;BC-UCD;1348;21.7
3;01;1;Ambérieu-en-Bugey;19521;13028;6493;185;97;6211;M. Anthony GAUDILLIERE;BC-RN;1328;21.38
4;01;2;Attignat;18167;12364;5803;123;66;5614;Mme Clotilde FOURNIER;BC-UCD;2961;52.74
5;01;2;Attignat;18167;12364;5803;123;66;5614;Mme Nadine BOZONNET;BC-UGE;1596;28.43
6;01;2;Attignat;18167;12364;5803;123;66;5614;Mme Marie-Françoise RICARD;BC-RN;1057;18.83
7;01;3;Valserhône;12708;9082;3626;50;27;3549;M. Guy LARMANJAT;BC-DVG;2467;69.51
8;01;3;Valserhône;12708;9082;3626;50;27;3549;Mme Marie-Noëlle ANCIAN;BC-LR;541;15.24
9;01;3;Valserhône;12708;9082;3626;50;27;3549;M. François BRISSON;BC-RN;541;15.24
10;01;4;Belley;18058;11688;6370;189;75;6106;Mme Aurélie BOREL;BC-UD;3058;50.08
11;01;4;Belley;18058;11688;6370;189;75;6106;Mme Pascale GUILLON;BC-UGE;1917;31.4
12;01;4;Belley;18058;11688;6370;189;75;6106;Mme Géraldine CENDRE;BC-UXD;1131;18.52
13;01;5;Bourg-en-Bresse-1;20006;14151;5855;114;62;5679;Mme Hélène BERTRAND-MARÉCHAL;BC-UCD;2530;44.55
14;01;5;Bourg-en-Bresse-1;20006;14151;5855;114;62;5679;Mme Françoise COURTINE;BC-SOC;2295;40.41
15;01;5;Bourg-en-Bresse-1;20006;14151;5855;114;62;5679;Mme Maryse PÉDENON;BC-UXD;854;15.04
16;01;6;Bourg-en-Bresse-2;17630;11766;5864;109;59;5696;M. Patrick BOUVARD;BC-UGE;2541;44.61
17;01;6;Bourg-en-Bresse-2;17630;11766;5864;109;59;5696;Mme Hélène CÉDILEAU;BC-UCD;2323;40.78
18;01;6;Bourg-en-Bresse-2;17630;11766;5864;109;59;5696;Mme Chantal PALLARD;BC-RN;832;14.61
19;01;7;Ceyzériat;19221;12579;6642;133;92;6417;M. Jean-Yves FLOCHON;BC-UD;3037;47.33
20;01;7;Ceyzériat;19221;12579;6642;133;92;6417;Mme Sonia DEBIAS SAÏD;BC-DVG;1973;30.75
21;01;7;Ceyzériat;19221;12579;6642;133;92;6417;M. Jérôme BUISSON;BC-RN;1407;21.93
22;01;8;Châtillon-sur-Chalaronne;21995;15345;6650;175;71;6404;Mme Patricia CHMARA;BC-UCD;2803;43.77
23;01;8;Châtillon-sur-Chalaronne;21995;15345;6650;175;71;6404;M. Olivier FROMONT;BC-DIV;1871;29.22
24;01;8;Châtillon-sur-Chalaronne;21995;15345;6650;175;71;6404;Mme Blanche CHAUSSAT;BC-RN;1730;27.01
25;01;9;Gex;17957;13297;4660;68;44;4548;Mme Véronique BAUDE;BC-UCD;2459;54.07
26;01;9;Gex;17957;13297;4660;68;44;4548;M. François BAILLON;BC-UGE;1559;34.28
27;01;9;Gex;17957;13297;4660;68;44;4548;M. Florian LAPALUS;BC-UXD;530;11.65
28;01;10;Plateau d'Hauteville;15228;9781;5447;152;69;5226;M. Philippe EMIN;BC-UCD;2783;53.25
29;01;10;Plateau d'Hauteville;15228;9781;5447;152;69;5226;M. Michel LEJEUNE;BC-UGE;1382;26.44
30;01;10;Plateau d'Hauteville;15228;9781;5447;152;69;5226;M. Roger AVY;BC-RN;908;17.37
31;01;10;Plateau d'Hauteville;15228;9781;5447;152;69;5226;M. Grégory FABRIS;BC-DSV;153;2.93
32;01;11;Lagnieu;24579;16571;8008;320;105;7583;M. Charles DE LA VERPILLIÈRE;BC-UD;4711;62.13
33;01;11;Lagnieu;24579;16571;8008;320;105;7583;Mme Isabel DURANTE;BC-RN;1625;21.43
34;01;11;Lagnieu;24579;16571;8008;320;105;7583;Mme Myriam BOUCEBHA;BC-UCG;1247;16.44
35;01;12;Meximieux;22121;15180;6941;118;63;6760;M. Romain DAUBIÉ;BC-LR;2881;42.62
36;01;12;Meximieux;22121;15180;6941;118;63;6760;Mme Émilie GRIMAND;BC-RN;1361;20.13
37;01;12;Meximieux;22121;15180;6941;118;63;6760;Mme Fatna BOUZIDI;BC-UGE;1239;18.33
38;01;12;Meximieux;22121;15180;6941;118;63;6760;Mme Béatrice BAGHDASSARIAN;BC-DVC;885;13.09
39;01;12;Meximieux;22121;15180;6941;118;63;6760;M. Albert BELTHIER;BC-UG;394;5.83
40;01;13;Miribel;20622;14239;6383;147;103;6133;M. Jean-Pierre GAITET;BC-UCD;2177;35.5
